epochs,trial_num,accuracy,loss,val_accuracy,val_loss,test_accuracy,test_precision,test_recall
5,23,0.73340871630028,0.213746054211063,0.623310837305123,0.32201400060736,0.603323111346744,0,0
5,24,1,0.0203899703919887,1,0.0200582109391689,1,1,1
5,25,1,0.0116217816248536,0.966666638851165,0.10250799357891,0.933333337306976,1,0.888888895511627
5,26,0.968421041965484,0.413931339979171,1,0.366990119218826,1,1,1
5,27,0.505263149738311,0.6931973695755,0.766666650772094,0.692034661769866,0.800000011920929,0.800000011920929,1
5,28,0.978947341442108,0.0524135455489158,1,0.0175365768373012,1,1,1
5,29,0.989473700523376,0.053446426987648,1,0.00509955920279026,1,1,1
5,30,0.810526311397552,0.350436359643936,0.899999976158142,0.292836487293243,0.800000011920929,0.699999988079071,1
6,1,0.915789484977722,0.371766269207,1,0.436512887477874,0.936842083930969,1,1
6,2,0.989473700523376,0.0137421963736414,1,0.0161648597568273,0.905789484977722,1,1
6,3,1,0.00198109238408505,1,0.000549396383576095,1,1,1
6,4,1,0.010695400647819,1,0.00582912703976035,1,1,1
6,5,0.979473700523376,0.0231630634516477,1,0.0181523337960243,0.933333337306976,1,0.833333313465118
6,6,0.916315784454345,0.00316058075986802,1,0.00840863212943077,1,1,1
6,7,0.515789449214935,0.693093657493591,0.600000023841857,0.692479848861694,0.400000005960464,0.400000005960464,1
6,8,0.969473700523376,0.367277532815933,0.966666638851165,0.292539715766906,1,1,1
6,9,0.515789449214935,0.692966818809509,0.433333337306976,0.694228589534759,0.666666686534881,0.666666686534881,1
6,10,0.515789449214935,0.69319748878479,0.533333361148834,0.693093717098236,0.600000023841857,0,0
6,10,0.957894742488861,0.00708913616836071,0.966666638851165,0.0906932204961776,1,1,1
6,11,0.929473700523376,0.0179879255592823,1,0.000161568401381373,0.911473700523376,1,1
6,12,1,0.00433484325185418,1,0.0185931362211704,1,1,1
6,13,0.947894742488861,0.106123104691505,1,0.0446008816361427,0.951473700523376,1,1
6,14,0.494736850261688,0.693197131156921,0.400000005960464,0.693374872207641,0.666666686534881,0.666666686534881,1
6,15,1,0.00842679012566804,1,0.00000484491602037451,1,1,1
6,16,1,0.0172553546726703,0.966666638851165,0.0276318173855543,1,1,1
6,17,0.515789449214935,0.693053424358367,0.466666668653488,0.693295300006866,0.600000023841857,0,0
6,18,1,0.0116217816248536,0.966666638851165,0.10250799357891,0.933333337306976,1,0.888888895511627
6,19,0.939473700523376,0.0248132925480604,1,0.00331601104699075,1,1,1
6,20,1,0.0039531085640192,1,0.00326638133265078,0.933333337306976,1,0.899999976158142
6,21,0.494736850261688,0.712282538414001,0.366666674613952,0.69474446773529,0.603333361148834,0,0
6,22,0.949473700523376,0.0305598005652427,1,0.0025237537920475,1,1,1
6,24,0.923473700523376,0.048542283475399,1,0.0156901665031909,0.93473700523376,1,1
6,25,1,0.00640282081440091,1,0.00105983787216246,1,1,1
6,26,0.515789449214935,0.693096935749054,0.400000005960464,0.694370567798614,0.40333334326744,0.33333334326744,1
6,27,0.863157868385314,0.318708330392837,1,0.0118715027347207,1,1,1
6,28,1,0.0198807828128337,1,0.0232919957488775,1,1,1
6,29,0.515789449214935,0.693009555339813,0.366666674613952,0.694539248943328,0.466666668653488,0.466666668653488,1
6,30,0.515789449214935,0.693021833896637,0.566666662693023,0.692176282405853,0.466666668653488,0.466666668653488,1
7,30,0.484210520982742,0.693177044391632,0.466666668653488,0.693190693855285,0.400000005960464,0,0
7,1,1,0.0244989842176437,0.966666638851165,0.0655587837100029,1,1,1
7,2,1,0.00252142013050615,1,0.00271850684657692,1,1,1
7,3,1,0.00580939883366227,1,0.0068057682365179,1,1,1
7,4,0.936842083930969,0.376629561185836,0.966666638851165,0.387140601873397,0.918421041965484,1,1
7,4,0.968421041965484,0.340844362974166,1,0.353290647268295,0.929473700523376,1,1
7,5,0.515789449214935,0.693152844905853,0.566666662693023,0.693039059638977,0.533333361148834,0.533333361148834,1
7,6,0.989473700523376,0.0179032646119594,1,0.00240581459365785,1,1,1
7,7,0.875263149738311,0.693119406700134,0.400000005960464,0.694466233253479,0.400000005960464,0.400000005960464,1
7,8,0.989473700523376,0.0331271104514598,1,0.0240670423954725,1,1,1
7,9,0.968421041965484,0.364679306745529,0.966666638851165,0.353286772966384,0.989473700523376,1,1
7,10,1,0.00114352314267307,1,0.00477210665121674,1,1,1
7,11,1,0.0012430764036253,1,0.000106817307823803,0.988421041965484,1,1
7,12,0.926315784454345,0.19657614827156,1,0.0121055301278829,0.933333337306976,1,0.875
7,13,1,0.0136085990816354,1,0.000860321917571127,1,1,1
7,14,1,0.0203899703919887,1,0.0200582109391689,1,1,1
7,15,1,0.0172553546726703,0.966666638851165,0.0276318173855543,1,1,1
7,16,1,0.000230548394029028,1,0.000604753498919308,1,1,1
7,17,0.968421041965484,0.0546503365039825,1,0.00243885000236332,0.933333337306976,1,0.857142865657806
7,18,1,0.000814154569525271,1,0.00902376975864172,1,1,1
7,19,1,0.000261362380115315,1,0.0207624956965446,0.973333337306976,1,0.800000011920929
7,20,0.989473700523376,0.0232128463685512,1,0.00272234459407627,1,1,1
7,21,0.905789449214935,0.692996144294738,0.600000023841857,0.691903710365295,0.466666668653488,0.466666668653488,1
7,22,1,0.00123584002722054,1,0.0148471556603908,1,1,1
